類別,名稱,公私立,縣市,鄉鎮市區,地址,經度,緯度,聯絡電話,管轄所屬
公墓,汐止區第十公墓,公立,新北市,汐止區,橫科段橫科小段135-1地號,121.6283440,25.0490180,(02)2641-1111分機167,新北市                 
骨灰(骸)存放設施,懷仁聖殿,私立,新北市,三芝區,圓山里石曹子32-1號,121.5427093,25.2170856,(02)2637-1887,新北市                 
骨灰(骸)存放設施,私立國寶北海福座墓園附設納骨塔,私立,新北市,三芝區,北新庄店子里9-2號,121.500608,25.2054,(02)2637-2105,新北市                 
骨灰(骸)存放設施,私立北海明山墓園附設萬代福紀念特區,私立,新北市,三芝區,福德里大湖8-8號,121.505717,25.22415,(02)2637-1130,新北市                 
骨灰(骸)存放設施,白沙灣安樂園公墓附設真龍殿寶塔,私立,新北市,三芝區,圓山里木屐寮38-2號,121.531352,25.228686,(02)2636-5300,新北市                 
骨灰(骸)存放設施,金寶塔,私立,新北市,金山區,西湖里西勢湖18號,121.603157,25.249857,(02)2498-5911,新北市                 
骨灰(骸)存放設施,私立國榮公墓附設納骨塔,私立,新北市,金山區,無,121.6169002,25.2366076,無,新北市                 
骨灰(骸)存放設施,大佛寺,私立,新北市,金山區,五湖里南勢湖74-9號,121.616484,25.20454,(02)2498-2570,新北市                 
骨灰(骸)存放設施,私立天主教三德公墓附設升天塔,私立,新北市,三峽區,中正路3段33號,,,(02)2671-9985,新北市                 
骨灰(骸)存放設施,私立林口頂福陵園附設三聖寶塔,私立,新北市,林口區,頂福里89號,,,(02)2609-2988,新北市                 
骨灰(骸)存放設施,雙溪懷恩堂,公立,新北市,雙溪區,牡丹里中正路69-1號,,,2493-0237,新北市                 
骨灰(骸)存放設施,私立臺北花園公墓附設永安堂,私立,新北市,石碇區,北宜公路6段小金瓜寮15號,,,(02)2665-1973,新北市                 
骨灰(骸)存放設施,淡水聖賢祠,公立,新北市,淡水區,中和里北勢子 19-1 號,121.4755361,25.2343177,02-2801-3215,新北市                 
骨灰(骸)存放設施,三峽生命紀念館,公立,新北市,三峽區,添福里添福81號,121.37246400000003,24.9049336,02-2671-0609,新北市                 
骨灰(骸)存放設施,福田妙國生命紀念館,私立,新北市,萬里區,磺潭里員潭22-4號,,,(02)2498-0666,新北市                 
骨灰(骸)存放設施,懷恩寶殿,私立,新北市,三芝區,圓山里,,,(02)2637-1887,新北市                 
骨灰(骸)存放設施,日光苑,私立,新北市,金山區,西湖里,,,(02)2498-5900,新北市                 
骨灰(骸)存放設施,萬佛塔,私立,新北市,金山區,西湖里西勢湖18號,,,(02)2498-5900,新北市                 
骨灰(骸)存放設施,對越寺,私立,新北市,金山區,五湖里,,,(02)2498-2570,新北市                 
骨灰(骸)存放設施,祥雲觀,私立,新北市,金山區,五湖里南勢湖74-9號,,,(02)2498-2570,新北市                 
骨灰(骸)存放設施,私立天品寶塔,私立,新北市,三峽區,添福13之21號,,,(02)2672-8822,新北市                 
公墓,台北三芝新小基隆段山坡地殯葬設施,私立,新北市,三芝區,新小基隆段埔頭坑小段248等地號,,,無,新北市                 
公墓,三峽區弘道示範公墓,公立,新北市,三峽區,福德坑段960等地號,,,(02)2671-1017分機203,新北市                 
公墓,坪林區第二十公墓,公立,新北市,坪林區,九芎林段尖山湖小段38-8地號,,,(02)2665-7251分機218,新北市                 
骨灰(骸)存放設施,私立觀音山福園（附設福園寶塔）,私立,新北市,五股區,民義路2段130號,,,（02）2971-2102,新北市                 
火化場,台北縣立火化場,公立,新北市,板橋區,長江路三段,,,02-12345678,新北市                 
公墓,平溪區第二公墓,公立,新北市,平溪區,石底段東勢格小段52-3地號,121.7537404,25.0345984,(02)2495-1510分機162,新北市                 
公墓,平溪區第三公墓,公立,新北市,平溪區,十分寮段月桃寮小段73-2、73-6地號,121.776411,25.044993,(02)2495-1510分機162,新北市                 
公墓,平溪區第四公墓,公立,新北市,平溪區,十分寮段石灼坑小段29-5地號,121.776411,25.044993,(02)2495-1510分機162,新北市                 
公墓,平溪區第五公墓,公立,新北市,平溪區,十寮段平溪子小段98-6地號,121.7537404,25.0345984,(02)2495-1510分機162,新北市                 
公墓,三芝區第二公墓,公立,新北市,三芝區,新小基隆段浦頭坑小段65、67及番社后小段38地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第一公墓,公立,新北市,三芝區,新小基隆段新庄子小段31、31-4、31-5地號,,,(02)2636-2111分機262,新北市                 
公墓,三芝區第三公墓,公立,新北市,三芝區,錫板段山豬崛小段145-1、162-1地號,121.477271,25.259456,(02)2636-2111分機262,新北市                 
公墓,三芝區第四公墓,公立,新北市,三芝區,後厝段土地公坑段110地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第五公墓,公立,新北市,三芝區,土地公埔段土地公埔小段141-1地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第六公墓,公立,新北市,三芝區,新小基隆段二坪頂小段29-5地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第七公墓,公立,新北市,三芝區,北新庄子段車埕小段716-1地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區示範公墓(附設納骨塔),公立,新北市,三芝區,土地公埔段八連溪頭小段148等地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,貢寮區第一公墓,公立,新北市,貢寮區,長潭段215-1地號,,,(02)2494-1601分機252,新北市                 
公墓,貢寮區第二公墓,公立,新北市,貢寮區,貢寮段貢寮小段153-1、153-2地號,121.90701,25.020175,(02)2494-1601分機252,新北市                 
公墓,貢寮區第三公墓,公立,新北市,貢寮區,貢寮段貢寮小段535-2、535-15地號,121.90701,25.020175,(02)2494-1601分機252,新北市                 
公墓,貢寮區第四公墓,公立,新北市,貢寮區,枋腳段55-1、55-2地號,121.889744,25.006828,(02)2494-1601分機252,新北市                 
公墓,貢寮區第五公墓,公立,新北市,貢寮區,貢寮段內寮小段853-1地號,121.9131761,25.0178293,(02)2494-1601分機252,新北市                 
公墓,貢寮區第六公墓,公立,新北市,貢寮區,大石壁坑段324-1、324-5地號,121.911063,24.99871,(02)2494-1601分機252,新北市                 
公墓,貢寮區第七公墓,公立,新北市,貢寮區,下雙溪段下雙溪小段450地號,121.918601,25.016015,(02)2494-1601分機252,新北市                 
公墓,貢寮區第八公墓,公立,新北市,貢寮區,遠望坑段遠望坑小段277-1等地號,,,(02)2494-1601分機252,新北市                 
公墓,貢寮區第九公墓,公立,新北市,貢寮區,田寮洋段新社田寮小段21-2等地號,121.9131761,25.0178293,(02)2494-1601分機252,新北市                 
公墓,貢寮區第十公墓,公立,新北市,貢寮區,田寮洋段??小段239-2等地號,121.968,24.9935,(02)2494-1601分機252,新北市                 
公墓,貢寮區第十一公墓,公立,新北市,貢寮區,田寮洋段卯澳小段362地號,121.968,24.9935,(02)2494-1601分機252,新北市                 
公墓,貢寮區第十二公墓,公立,新北市,貢寮區,田寮洋段萊萊小段24-7地號,121.968,24.9935,(02)2494-1601分機252,新北市                 
公墓,貢寮區第十五公墓,公立,新北市,貢寮區,撈洞段蚊子坑小段31-3地號,121.9131761,25.0178293,(02)2494-1601分機252,新北市                 
公墓,萬里區第一公墓,公立,新北市,萬里區,中萬里加投段瑪鋉港口小段259-3等地號,,,(02)2492-2064分機325,新北市                 
公墓,萬里區第二公墓,公立,新北市,萬里區,萬里段235等地號,,,(02)2492-2064分機325,新北市                 
公墓,萬里區第三公墓,公立,新北市,萬里區,中萬里加投段粗坑子小段25-1地號,,,(02)2492-2064分機325,新北市                 
公墓,萬里區第四公墓,公立,新北市,萬里區,中萬里加投段大坪小段118-1地號,,,(02)2492-2064分機325,新北市                 
公墓,石碇區第二十公墓,公立,新北市,石碇區,小格頭段水底寮小段79-5，新興坑段八分寮小段154-4，大溪墘段大溪墘小段101-25地號,,,(02)2663-1080分機238,新北市                 
公墓,深坑區第二公墓,公立,新北市,深坑區,深坑子段新埤內小段42-2、42-25地號,,,(02)2662-3116分機202,新北市                 
公墓,深坑區第三公墓,公立,新北市,深坑區,萬順寮段大坑外股小段17-1、17-2地號,121.605449,25.002372,(02)2662-3116分機202,新北市                 
公墓,深坑區第四公墓,公立,新北市,深坑區,土庫段土庫小段62-4地號,,,(02)2662-3116分機202,新北市                 
公墓,深坑區第五公墓,公立,新北市,深坑區,烏月段旺耽小段2-2地號,121.629986,25.005818,(02)2662-3116分機202,新北市                 
公墓,深坑區第六公墓,公立,新北市,深坑區,阿柔坑段?腳坑段62-1地號,121.614896,24.983609,(02)2662-3116分機202,新北市                 
公墓,深坑區第七公墓,公立,新北市,深坑區,阿柔坑段炮子崙小段2-2地號,,,(02)2662-3116分機202,新北市                 
公墓,深坑區第八公墓,公立,新北市,深坑區,阿柔坑段王軍寮小段71-4地號,,,(02)2662-3116分機202,新北市                 
公墓,樹林區第二公墓,公立,新北市,樹林區,三福段1134等地號,121.41225099563598,25.01046467168923,(02)2681-2106分機1539,新北市                 
公墓,樹林區第三公墓,公立,新北市,樹林區,武林段965等地號,121.41628503799438,24.99910791704638,(02)2681-2106分機1539,新北市                 
公墓,樹林區第五公墓,公立,新北市,樹林區,備內段1251等地號,121.41424655914306,24.987020765737643,(02)2681-2106分機1539,新北市                 
公墓,樹林區第六公墓,公立,新北市,樹林區,山子腳段山子腳小段749-3、味王段20等、山佳段1地號,121.40029907226562,24.976371807904375,(02)2681-2106分機1539,新北市                 
公墓,樹林區第七公墓,公立,新北市,樹林區,樂山段579、580地號,121.38587951660156,24.96964158008687,(02)2681-2106分機1539,新北市                 
公墓,樹林區第八公墓,公立,新北市,樹林區,石灰坑段風爐坑小段4-1、4-19、8地號,121.38047218322754,24.965634390986285,(02)2681-2106分機1539,新北市                 
公墓,汐止區第六公墓,公立,新北市,汐止區,昊天段591等地號,121.669065,25.078199,(02)2641-1111分機167,新北市                 
公墓,汐止區第七公墓,公立,新北市,汐止區,昊天段606等地號,121.6397184,25.0616059,(02)2641-1111分機167,新北市                 
公墓,八里區第二公墓,公立,新北市,八里區,米倉段231等地號,,,(02)2610-2621分機115,新北市                 
公墓,八里區第四公墓,公立,新北市,八里區,大八里坌段蛇子形小段18-1等地號,,,(02)2610-2621分機115,新北市                 
公墓,烏來區忠治公墓,公立,新北市,烏來區,忠治段547、547之1地號,,,(02)2661-6442分機203,新北市                 
公墓,烏來區信賢公墓,公立,新北市,烏來區,信賢段309地號,,,(02)2661-6442分機203,新北市                 
公墓,瑞芳區第一公墓,公立,新北市,瑞芳區,龍潭堵段356等地號,121.809141,25.110785,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第二公墓,公立,新北市,瑞芳區,柑子瀨段柑子瀨小段12-4等地號,121.822098,25.103052,(02)2497-2250分機1132,新北市                 
公墓,土城區第四公墓,公立,新北市,土城區,柑林段286、291地號,121.456014,24.972413,(02)2273-2000分機555,新北市                 
公墓,土城區第八公墓,公立,新北市,土城區,祖田段1095地號,121.429599,24.942467,(02)2273-2000分機555,新北市                 
公墓,烏來區福山大羅蘭公墓,公立,新北市,烏來區,福山段568地號,,,(02)2661-6442分機203,新北市                 
公墓,烏來區福山卡拉模基公墓,公立,新北市,烏來區,福山段76地號,,,(02)2661-6442分機203,新北市                 
公墓,五股區第二公墓,公立,新北市,五股區,成福段1255、1262地號,,,(02)2291-6051分機218,新北市                 
公墓,五股區第三公墓,公立,新北市,五股區,五股坑段五股坑小段18-1、洲子段御史坑小段228等、御史段484等、陸光段44等地號,,,(02)2291-6051分機218,新北市                 
公墓,瑞芳區第三公墓,公立,新北市,瑞芳區,爪峰段1348地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第四公墓,公立,新北市,瑞芳區,傑魚坑段傑魚坑小段369地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第五公墓,公立,新北市,瑞芳區,傑魚坑段滴水子小段298地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第六公墓,公立,新北市,瑞芳區,傑魚坑段八分寮小段125-10地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第七公墓,公立,新北市,瑞芳區,傑魚坑段大寮小段101地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第八公墓,公立,新北市,瑞芳區,四腳亭段楓子瀨小段35-1地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第九公墓,公立,新北市,瑞芳區,吉安段43地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十公墓,公立,新北市,瑞芳區,瑞亭段412、413、414地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十一公墓,公立,新北市,瑞芳區,三爪子段坪林小段55地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十二公墓,公立,新北市,瑞芳區,猴硐段17-6地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十三公墓,公立,新北市,瑞芳區,九芎橋段56-8地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十四公墓,公立,新北市,瑞芳區,三爪子段魚寮子小段63-1、63-8地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十五公墓,公立,新北市,瑞芳區,三爪子段新路尾小段130-9、130-12地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十六公墓,公立,新北市,瑞芳區,三爪子段烏塗窟小段43-6地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十七公墓,公立,新北市,瑞芳區,深澳段201-7地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十八公墓,公立,新北市,瑞芳區,子寮段335、335-3、336地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第二十一公墓,公立,新北市,瑞芳區,水南洞段45等地號,,,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第二十二公墓,公立,新北市,瑞芳區,南子吝段南子吝小段38-11地號,121.88163757324219,25.114201938326083,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第二十三公墓,公立,新北市,瑞芳區,鼻頭段115、116地號,121.917097,25.125996,(02)2497-2250分機1132,新北市                 
公墓,瑞芳區第十九公墓,公立,新北市,瑞芳區,子寮段160-3地號；金瓜石段15-50等地號,,,(02)2497-2250分機1132,新北市                 
公墓,新店區第四公墓,公立,新北市,新店區,竹林段330,,,(02)2911-2281分機1013,新北市                 
公墓,新店區三城公墓,公立,新北市,新店區,安泰段422等、錦秀段98等地號,,,(02)2911-2281分機1013,新北市                 
公墓,新店區四城公墓,公立,新北市,新店區,錦秀段981、981之1、984地號,,,(02)2911-2281分機1013,新北市                 
公墓,新店區四十份公墓(示範公墓、樹葬、花葬),公立,新北市,新店區,青潭段四十分小段414地號,121.583336,24.938847,(02)2911-2281分機1013,新北市                 
公墓,瑞芳區第二十公墓,公立,新北市,瑞芳區,金瓜石段22-117、22-158、22-160地號,,,(02)2497-2250分機1132,新北市                 
公墓,石碇區第一公墓,公立,新北市,石碇區,員潭子坑段員潭子坑小段152之9、181之5地號,,,(02)2663-1080分機238,新北市                 
公墓,雙溪區石壁坑公墓,公立,新北市,雙溪區,武丹坑段武丹坑小段316-5、579，武丹坑段尪子崙坑小段174之1地號,,,(02)2493-1111分機103,新北市                 
公墓,雙溪區柑腳公墓,公立,新北市,雙溪區,柑腳段柑腳小段146-2等地號,,,(02)2493-1111分機103,新北市                 
公墓,雙溪區大平公墓,公立,新北市,雙溪區,大平段大平小段76-1地號,,,(02)2493-1111分機103,新北市                 
公墓,雙溪區料角坑公墓,公立,新北市,雙溪區,料角坑段料角坑小段116-1地號,,,(02)2493-1111分機103,新北市                 
公墓,雙溪區丁子蘭坑公墓,公立,新北市,雙溪區,丁子蘭坑段272-3、272-8地號,,,(02)2493-1111分機103,新北市                 
公墓,雙溪區燦光寮公墓,公立,新北市,雙溪區,燦光寮段295、296地號,,,(02)2493-1111分機103,新北市                 
公墓,雙溪區溪尾寮公墓,公立,新北市,雙溪區,溪尾寮段藤燦坑小段57地號,,,(02)2493-1111分機103,新北市                 
公墓,石碇區第三公墓,公立,新北市,石碇區,烏塗窟段橫坪小段41-4號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第四公墓,公立,新北市,石碇區,蓬萊寮段湳子小段8-3地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第五公墓,公立,新北市,石碇區,崩山段崩山小段1191地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第六公墓,公立,新北市,石碇區,崩山段磨石坑小段23-4地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第七公墓,公立,新北市,石碇區,崩山段崩山小段348-2、553-2地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第八公墓,公立,新北市,石碇區,玉桂嶺段九芎坑小段42-3地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第九公墓,公立,新北市,石碇區,楓子林段楓子林小段160-1地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十二公墓,公立,新北市,石碇區,大溪墘段蚯蚓坑小段30-3地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十公墓,公立,新北市,石碇區,雙溪段雙溪小段138-7地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十一公墓,公立,新北市,石碇區,排寮段十八重溪小段216-2地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十三公墓,公立,新北市,石碇區,大溪墘段藤寮坑小段2-5地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十四公墓,公立,新北市,石碇區,鹿窟段鹿窟小段16-5、20-5地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十五公墓,公立,新北市,石碇區,小格頭段濕水子小段21-9地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十六公墓,公立,新北市,石碇區,小格頭段火燒樟小段21-6、21-7、21-10、21-12地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十七公墓,公立,新北市,石碇區,小格頭段荖寮小段33-5等地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十八公墓,公立,新北市,石碇區,小格頭段二格小段61-3、61-4、61-5地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第十九公墓,公立,新北市,石碇區,小格頭段雷公坡小段55-25地號,,,(02)2663-1080分機238,新北市                 
公墓,石碇區第二公墓,公立,新北市,石碇區,烏塗窟段烏塗窟小段27地號,,,(02)2663-1080分機238,新北市                 
殯儀館,臺北市立第一殯儀館,公立,臺北市,中山區,民權東路2段145號,121.535723,25.062648,02-25131057,臺北市
殯儀館,臺北市立第二殯儀館,公立,臺北市,大安區,辛亥路3段330號,121.54964447021484,25.015850984409304,02-87329790,臺北市
公墓,士林第1公墓,公立,臺北市,士林區,,121.5484180,25.1255884,02-87329716,臺北市
公墓,士林第3公墓,公立,臺北市,士林區,,121.5484180,25.1255884,02-87329716,臺北市
公墓,士林第4公墓,公立,臺北市,士林區,,121.5484180,25.1255884,02-87329716,臺北市
公墓,士林第5公墓,公立,臺北市,士林區,,121.5484180,25.1255884,02-87329716,臺北市
公墓,士林第8公墓,公立,臺北市,士林區,,121.5484180,25.1255884,02-87329716,臺北市
公墓,士林第11公墓,公立,臺北市,士林區,,121.5484180,25.1255884,02-87329716,臺北市
公墓,中山第1公墓,公立,臺北市,中山區,,121.5427093,25.0792018,02-87329716,臺北市
公墓,內湖第3公墓,公立,臺北市,內湖區,,121.5940773,25.0935968,02-87329716,臺北市
公墓,內湖第7公墓,公立,臺北市,內湖區,,121.5940773,25.0935968,02-87329716,臺北市
公墓,內湖第7-1公墓,公立,臺北市,內湖區,,121.5940773,25.0935968,02-87329716,臺北市
公墓,內湖第9公墓,公立,臺北市,內湖區,,121.5940773,25.0935968,02-87329716,臺北市
公墓,內湖第11公墓,公立,臺北市,內湖區,,121.5940773,25.0935968,02-87329716,臺北市
公墓,北投第8公墓,公立,臺北市,北投區,,121.5027404,25.1363615,02-87329716,臺北市
公墓,北投第9公墓,公立,臺北市,北投區,,121.5027404,25.1363615,02-87329716,臺北市
公墓,北投第10公墓,公立,臺北市,北投區,,121.5027404,25.1363615,02-87329716,臺北市
公墓,北投第11公墓,公立,臺北市,北投區,,121.5027404,25.1363615,02-87329716,臺北市
公墓,陽明山第1公墓(公墓已禁葬),公立,臺北市,北投區,台北市北投區泉源路220號,121.5027404,25.1363615,02-28922690,臺北市
公墓,示範公墓,公立,臺北市,信義區,,121.5769572,25.0287024,02-87329716,臺北市
公墓,大安第6公墓,公立,臺北市,信義區,,121.5769572,25.0287024,02-87329716,臺北市
公墓,大安第8公墓,公立,臺北市,大安區,,121.5427093,25.0261583,02-87329716,臺北市
公墓,大安第9公墓,公立,臺北市,大安區,,121.5427093,25.0261583,02-87329716,臺北市
公墓,古亭第10公墓,公立,臺北市,大安區,,121.5427093,25.0261583,02-87329716,臺北市
公墓,木柵第6公墓,公立,臺北市,文山區,,121.5712500,24.9929212,02-87329716,臺北市
公墓,木柵第7公墓,公立,臺北市,文山區,,121.5712500,24.9929212,02-87329716,臺北市
公墓,木柵第9公墓,公立,臺北市,文山區,,121.5712500,24.9929212,02-87329716,臺北市
公墓,景美第5公墓,公立,臺北市,文山區,,121.5712500,24.9929212,02-87329716,臺北市
公墓,景美第13公墓,公立,臺北市,文山區,,121.5712500,24.9929212,02-87329716,臺北市
公墓,富德公墓,公立,臺北市,文山區,木柵路五段190號,121.562575,25.003362,02-27887513,臺北市
公墓,南港第1公墓,公立,臺北市,南港區,,121.6111949,25.0312347,02-87329716,臺北市
公墓,南港第8公墓,公立,臺北市,南港區,,121.6111949,25.0312347,02-87329716,臺北市
公墓,南港第9公墓,公立,臺北市,南港區,,121.6111949,25.0312347,02-87329716,臺北市
公墓,南港第10公墓,公立,臺北市,南港區,,121.6111949,25.0312347,02-87329716,臺北市
公墓,南港第11公墓,公立,臺北市,南港區,,121.6111949,25.0312347,02-87329716,臺北市
火化場,八德安樂園火葬場,私立,臺南市,左鎮區,光和村109-1號,120.3752561,23.059199,06-5732123,臺北市
火化場,臺中市生命禮儀管理所--大甲火化場,公立,臺中市,大甲區,中山路一段1158巷49號,120.6371418,24.3565685,04-26876744,臺北市
火化場,臺北市立火化場,公立,臺北市,大安區,辛亥路3段330號,121.55129671096802,25.014625959312987,02-87329767,臺北市
骨灰(骸)存放設施,臺北市立富德靈骨樓,公立,臺北市,文山區,木柵路5段190號,121.57125,24.9929212,02-22391590,臺北市
骨灰(骸)存放設施,路竹第四公墓納骨塔,公立,高雄市,路竹區,國昌路76號,120.2592630,22.8546570,07-6979219,臺北市
骨灰(骸)存放設施,高雄市岡山區納骨塔,公立,高雄市,岡山區,大莊路78號,120.3189731,22.8076536,07-6282577,臺北市
骨灰(骸)存放設施,慈恩園生命紀念館,私立,臺北市,信義區,和平東路3段631巷49號,121.5598345,25.091075,02-23784458,臺北市
骨灰(骸)存放設施,陽明山第一公墓暨靈骨塔,公立,臺北市,北投區,台北市北投區泉源路220號,121.527473,25.14203,02-28912083,臺北市
骨灰(骸)存放設施,高雄市路竹區第2納骨塔,公立,高雄市,路竹區,新園段2055-3、2056-1等地號,,,076979219,臺北市
骨灰(骸)存放設施,陽明山臻愛樓,公立,臺北市,北投區,泉源路220號,121.5598345,25.091075,02-28911258,臺北市
骨灰(骸)存放設施,擁恆文創園區,私立,基隆市,信義區,六和街6號,121.76015370000004,25.1124206,02-2465-8000,臺北市
公墓,內湖第3-1公墓,公立,臺北市,內湖區,碧山段三小段,121.57178890217733,25.09764592595531,02-87329716,臺北市
