名稱,類別,公私立,縣市,經度,緯度
貢寮區第十公墓,公墓,公立,新北市,1.0,0.8801279519326682
貢寮區第十一公墓,公墓,公立,新北市,1.0,0.8801279519326682
貢寮區第十二公墓,公墓,公立,新北市,1.0,0.8801279519326682
貢寮區第七公墓,公墓,公立,新北市,0.9710903433354529,0.8891935847409767
瑞芳區第二十三公墓,公墓,公立,新北市,0.9702101610721806,0.9334772783625905
貢寮區第十五公墓,公墓,公立,新北市,0.967915542298199,0.8899241100620564
貢寮區第九公墓,公墓,公立,新北市,0.967915542298199,0.8899241100620564
貢寮區第五公墓,公墓,公立,新北市,0.967915542298199,0.8899241100620564
貢寮區第六公墓,公墓,公立,新北市,0.9666788979228489,0.8822257510413191
貢寮區第三公墓,公墓,公立,新北市,0.9643069705870454,0.8908686028392468
貢寮區第二公墓,公墓,公立,新北市,0.9643069705870454,0.8908686028392468
貢寮區第四公墓,公墓,公立,新北市,0.9542024313864508,0.8854944522244348
瑞芳區第二十二公墓,公墓,公立,新北市,0.9494583269644177,0.9287284161616451
瑞芳區第二公墓,公墓,公立,新北市,0.9146141272764582,0.9242389093128979
雙溪區頂坪公墓,公墓,公立,新北市,0.9146141272764582,0.8816113898359488
私立金石安樂園,公墓,私立,新北市,0.9070401120827828,0.926544072440926
瑞芳區第一公墓,公墓,公立,新北市,0.9070313336692499,0.9273525907922067
台北聖城,骨灰(骸)存放設施,私立,基隆市,0.8965408368871297,0.9325646753530396
台北聖城,公墓,私立,基隆市,0.8965408368871297,0.9325646753530396
坪林區第十七公墓,公墓,公立,新北市,0.890148103540802,0.8659128464179209
坪林區第十五公墓,公墓,公立,新北市,0.8879762131602882,0.8715865802490926
平溪區第四公墓,公墓,公立,新北市,0.8878768353468043,0.9008615353303258
平溪區第三公墓,公墓,公立,新北市,0.8878768353468043,0.9008615353303258
坪林區第十六公墓,公墓,公立,新北市,0.8822756222871035,0.8592739766091968
未來世界藝術墓園,公墓,私立,基隆市,0.8783626151947564,0.9280111628118056
擁恆文創園區,骨灰(骸)存放設施,私立,基隆市,0.8783626151947564,0.9280111628118056
平溪區第五公墓,公墓,公立,新北市,0.8746093752286013,0.8966761643869875
平溪區第二公墓,公墓,公立,新北市,0.8746093752286013,0.8966761643869875
坪林區第十八公墓,公墓,公立,新北市,0.8736102944119396,0.87403015856155
坪林區第十四公墓,公墓,公立,新北市,0.8718410147377829,0.8634107881336289
坪林區第三公墓,公墓,公立,新北市,0.8704329572075757,0.8515068854756298
基隆金寶塔,骨灰(骸)存放設施,私立,基隆市,0.8686883938253785,0.9290622366684698
基隆市立殯葬管理所-火化場,火化場,公立,基隆市,0.8679469104958792,0.9338726792694422
坪林區第四公墓,公墓,公立,新北市,0.8679395366285111,0.8508397370412487
坪林區第十二公墓,公墓,公立,新北市,0.8676956547874011,0.8630801081434939
基隆市立殯葬管理所-納骨塔,骨灰(骸)存放設施,公立,基隆市,0.867066728232607,0.9281176230967049
基隆市立南榮公墓,公墓,公立,基隆市,0.867066728232607,0.9281176230967049
基隆市立殯葬管理所-殯儀館,殯儀館,公立,基隆市,0.867066728232607,0.9281176230967049
坪林區第十三公墓,公墓,公立,新北市,0.8666282569782934,0.8680776416063062
坪林區第六公墓,公墓,公立,新北市,0.8663771045526313,0.8501374459233383
平溪第一公墓納骨堂,骨灰(骸)存放設施,公立,新北市,0.8662719306715988,0.8991034508297294
平溪區第一公墓,公墓,公立,新北市,0.8655088524448171,0.8934914556979344
坪林區第二公墓,公墓,公立,新北市,0.8633657490883582,0.85906339140117
坪林區第十公墓,公墓,公立,新北市,0.8598471414852001,0.8622967500174211
坪林區第五公墓,公墓,公立,新北市,0.858228036263035,0.8532241816749386
坪林區第十九公墓,公墓,公立,新北市,0.8573356172284875,0.8378340888469138
坪林區第十一公墓,公墓,公立,新北市,0.8532418326900595,0.8655241059523925
坪林區第一公墓,公墓,公立,新北市,0.8493364124708926,0.8570557658655877
坪林區第九公墓,公墓,公立,新北市,0.845608188972318,0.8658580862108615
坪林區第七公墓,公墓,公立,新北市,0.8444514977915945,0.8554261691670197
北基花園墓園,公墓,私立,基隆市,0.8415636812452645,0.9296605724603054
萬里中福納骨堂,骨灰(骸)存放設施,公立,新北市,0.8370603551043789,0.9544182257796253
坪林區第八公墓,公墓,公立,新北市,0.8360280136732551,0.8665216510728685
坪林區第二十二公墓,公墓,公立,新北市,0.8325343151935493,0.8563584930592942
欣欣安樂園,公墓,私立,基隆市,0.8284060683416988,0.9339552222286107
坪林區第二十一公墓,公墓,公立,新北市,0.8279256681824885,0.8559197545860401
金山第一公墓福緣納骨堂,骨灰(骸)存放設施,公立,新北市,0.8279062839980639,0.8488068046190477
私立國榮公墓,公墓,私立,新北市,0.8279062839980639,0.8488068046190477
汐止區第六公墓,公墓,公立,新北市,0.8250549967607652,0.9142318841214742
金剛舍利寶塔,骨灰(骸)存放設施,私立,新北市,0.8144553550370816,0.9667175293444746
私立天外天墓園,公墓,私立,新北市,0.8090951386901545,0.9083931575735403
私立天祥寶塔,骨灰(骸)存放設施,私立,新北市,0.8078805573941472,0.9502300362962178
汐止區第一公墓,公墓,公立,新北市,0.8078805573941472,0.9075506959468543
汐止區第五公墓,公墓,公立,新北市,0.8078805573941472,0.9075506959468543
汐止區第三公墓,公墓,公立,新北市,0.8078805573941472,0.9075506959468543
汐止區第七公墓,公墓,公立,新北市,0.8078805573941472,0.9075506959468543
汐止區第四公墓,公墓,公立,新北市,0.8078805573941472,0.9075506959468543
私立萬壽山墓園,公墓,私立,新北市,0.8078805573941472,0.9502300362962178
汐止區第二公墓,公墓,公立,新北市,0.8078805573941472,0.9075506959468543
金山區第一公墓,公墓,公立,新北市,0.8060310041861269,0.9722748850637861
蓬萊陵園,公墓,私立,新北市,0.8060241570235809,0.9722919170987759
私立南港墓園,公墓,私立,新北市,0.8043718840289639,0.8871054491982773
汐止區第八公墓,公墓,公立,新北市,0.8028169343790182,0.912421978748462
深坑區第五公墓,公墓,公立,新北市,0.8021848886048577,0.8850877771573076
汐止區第十公墓,公墓,公立,新北市,0.8012239449371055,0.9024821958701185
汐止區柯子林公墓,公墓,公立,新北市,0.80009211481931,0.9287276356973978
私立國榮公墓附設納骨塔,骨灰(骸)存放設施,私立,新北市,0.7945267176868059,0.9780148821795807
私立金山安樂園公墓,公墓,私立,新北市,0.7945267176868059,0.9780148821795807
大佛寺,骨灰(骸)存放設施,私立,新北市,0.794283145972725,0.9651029085334023
深坑區第一公墓,公墓,公立,新北市,0.793955418534276,0.8837457494357839
深坑區第六公墓,公墓,公立,新北市,0.7933538045936841,0.876145354814881
深坑區第三公墓,公墓,公立,新北市,0.7878251597524893,0.8837002501460958
金寶塔,骨灰(骸)存放設施,私立,新北市,0.786483818165108,0.9833497342928564
石門區第四公墓,公墓,公立,新北市,0.7819145437996575,0.9982891966963732
私立青潭花園公墓,公墓,私立,新北市,0.7757655508132625,0.858216097991509
新店區四十份公墓(示範公墓、樹葬、花葬),公墓,公立,新北市,0.7748840225265791,0.8581219990180546
新店四十份公墓懷恩堂、懷親堂,骨灰(骸)存放設施,公立,新北市,0.7748840225265791,0.8581219990180546
石門區第三公墓,公墓,公立,新北市,0.7691057700904657,1.0
內湖第3-1公墓,公墓,公立,臺北市,0.768126342542658,0.922062161268318
臺北市立富德靈骨樓,骨灰(骸)存放設施,公立,臺北市,0.7678109621316812,0.8798948989338033
吉樂寶塔,骨灰(骸)存放設施,私立,新北市,0.7663098534180499,0.8589035399143882
富德公墓,公墓,公立,臺北市,0.7627341129734955,0.8840988722415969
陽明山臻愛樓,骨灰(骸)存放設施,公立,臺北市,0.7611302968215647,0.9194163872544865
私立觀龍陵墓園,公墓,私立,新北市,0.7611302968215647,0.9194163872544865
慈恩園生命紀念館,骨灰(骸)存放設施,私立,臺北市,0.7611302968215647,0.9194163872544865
私立富貴山墓園,公墓,私立,新北市,0.7577897593368655,0.9050099431338979
私立天主教三德公墓,公墓,私立,新北市,0.7566910530994527,0.8927461531739194
私立天主教基隆區善終教友公墓,公墓,私立,新北市,0.7566910530994527,0.8927461531739194
臺北市立火化場,火化場,公立,臺北市,0.7561337473045963,0.8886342894789622
臺北市立第二殯儀館,殯儀館,公立,臺北市,0.7551668104657651,0.8891275440960699
烏來區烏來公墓,公墓,公立,新北市,0.754292205295492,0.831158234121709
懷仁聖殿,骨灰(骸)存放設施,私立,新北市,0.7511081576626448,0.9701543765751484
私立大福金座寶塔,骨灰(骸)存放設施,私立,新北市,0.7506011750199102,0.8964098526153064
私立長樂公墓,公墓,私立,新北市,0.74719749148055,0.9077955465491524
臺北市立第一殯儀館,殯儀館,公立,臺北市,0.7470195822996756,0.9079702960334426
私立玫瑰園公墓,公墓,私立,新北市,0.7465683718442337,0.9078019889264529
私立春秋墓園,公墓,私立,新北市,0.7445206605814677,0.8982145235567602
白沙灣安樂園公墓附設真龍殿寶塔,骨灰(骸)存放設施,私立,新北市,0.744461552597032,0.9748252611778354
私立台北花園公墓,公墓,私立,新北市,0.7443240241183933,0.8900878672400784
陽明山第一公墓暨靈骨塔,骨灰(骸)存放設施,公立,臺北市,0.7421914548581771,0.9399333457153956
私立龍泉墓園,公墓,私立,新北市,0.741366869213929,0.8855745792921172
私立龍泉墓園,公墓,私立,新北市,0.741366869213929,0.8855745792921172
三芝區第二公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第四公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
新店區第五公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
三芝區示範公墓(附設納骨塔),公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第七公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第六公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第五公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
新店區第七公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
新店區第六公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
私立北海明山墓園,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
私立白沙灣安樂園公墓,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
私立國寶北海福座墓園,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
新店區第三公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
私立懷恩聖地公墓,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
私立新店安樂墓園,公墓,私立,新北市,0.7407664257284715,0.8924349058205633
私立青潭花園公墓附設納骨塔,骨灰(骸)存放設施,私立,新北市,0.7398599082246092,0.9209520889436216
私立北海明山墓園附設萬代福紀念特區,骨灰(骸)存放設施,私立,新北市,0.729459243874277,0.972998847212991
白鶴山松柏長福園,公墓,私立,新北市,0.7285073127110795,0.880431991876419
陽明山第1公墓(公墓已禁葬),公墓,公立,臺北市,0.7277172554933788,0.9376509322322115
三芝示範公墓納骨堂,骨灰(骸)存放設施,公立,新北市,0.7265983589048481,0.9864887423679312
私立國寶北海福座墓園附設納骨塔,骨灰(骸)存放設施,私立,新北市,0.7264693162259587,0.965449186313333
中和區第一公墓,公墓,公立,新北市,0.7243750208487314,0.8805088574905919
中和區第五公墓,公墓,公立,新北市,0.7243750208487314,0.8805088574905919
中和區第二公墓,公墓,公立,新北市,0.7243750208487314,0.8805088574905919
中和納骨堂,骨灰(骸)存放設施,公立,新北市,0.721918001424439,0.8736328276674742
淡水區第十一公墓,公墓,公立,新北市,0.721203438563097,0.9497394492647439
淡水區第七公墓,公墓,公立,新北市,0.7194582899533409,0.9741717625303615
中和區第七公墓,公墓,公立,新北市,0.719152801162495,0.8812404699628411
私立宜城公墓,公墓,私立,新北市,0.7155407766086833,0.9553676711343653
淡水區第十公墓,公墓,公立,新北市,0.7133760198321885,0.9505314590241909
淡水第一公園化公墓附設納骨塔,骨灰(骸)存放設施,公立,新北市,0.7128405366068635,0.9820383078635141
三芝區第三公墓,公墓,公立,新北市,0.7128118604559964,0.9872147580249004
淡水聖賢祠,骨灰(骸)存放設施,公立,新北市,0.711796549147116,0.9770928571932269
私立長青孝園公墓,公墓,私立,新北市,0.7099208362667826,0.9110767298382888
淡水區第一公園化公墓,公墓,公立,新北市,0.7087293129369758,0.9840374580697429
新店五城花園公墓納骨塔（原永和市第一花園公墓納骨塔）,骨灰(骸)存放設施,公立,新北市,0.7086836651866271,0.8586232965017923
新店區五城花園公墓,公墓,公立,新北市,0.7086836651866271,0.8586232965017923
私立安康墓園,公墓,私立,新北市,0.7085279946533556,0.8580732785397155
私立觀自在金龍寶塔,骨灰(骸)存放設施,私立,新北市,0.7083881252644483,0.866315494999235
私立觀音山福園,公墓,私立,新北市,0.7071731928318957,0.9121429432816114
私立慈安墓園,公墓,私立,新北市,0.7063772833385066,0.9153431942059032
土城區第十一公墓,公墓,公立,新北市,0.7032135431023008,0.8736904064146028
土城公有靈恩納骨塔,骨灰(骸)存放設施,公立,新北市,0.7009748720838804,0.8735971127383119
淡水區第四公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第九公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第一公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第十二公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第五公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第六公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
新北市立殯儀館,殯儀館,公立,新北市,0.7007128657013914,0.8941932721751656
土城區第四公墓,公墓,公立,新北市,0.7003716780288555,0.8716373012984767
五股區第一公墓,公墓,公立,新北市,0.699349987739481,0.9272447615021306
五股孝恩納骨堂,骨灰(骸)存放設施,公立,新北市,0.699151829684727,0.9279071184183939
私立關渡龍園,骨灰(骸)存放設施,私立,新北市,0.6972178866613168,0.9325801773234196
淡水區第八公墓,公墓,公立,新北市,0.6961340452041472,0.9572283102286223
淡水區第三公墓,公墓,公立,新北市,0.6945609534995688,0.9671153461428138
土城區第十公墓,公墓,公立,新北市,0.6916342304286732,0.8705058587849812
土城區第九公墓,公墓,公立,新北市,0.6914762189851331,0.8691900032212442
八里慈恩納骨塔,骨灰(骸)存放設施,公立,新北市,0.6859275593610973,0.9412136876742618
土城區第八公墓,公墓,公立,新北市,0.6849128918025373,0.8595795868824159
新莊區第一公墓,公墓,公立,新北市,0.6842554471518993,0.8912542596504313
三峽區第四公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第八公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第七公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十一公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十五公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十二公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十三公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第九公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第六公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第五公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十四公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第二公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第一公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
泰山區第一公墓,公墓,公立,新北市,0.6775665301330722,0.9051588425792688
樹林區第三公墓,公墓,公立,新北市,0.6771211941886791,0.8823859717755257
新莊生命紀念館,骨灰(骸)存放設施,公立,新北市,0.6767009785590129,0.8952840471819493
樹林區第五公墓,公墓,公立,新北市,0.6759282201667446,0.877519097448922
樹林區第二公墓,公墓,公立,新北市,0.674760361387377,0.8869587529208128
樹林示範公墓納骨塔,骨灰(骸)存放設施,公立,新北市,0.6684972477722207,0.884568666195176
八里區第一公墓,公墓,公立,新北市,0.6684609743921969,0.9429395200234942
樹林區第六公墓,公墓,公立,新北市,0.6677657663324557,0.873231309684871
新北市立殯儀館附設火化場(三峽昇華園),火化場,公立,新北市,0.6648852339476423,0.8571069219445602
林口區第三公墓,公墓,公立,新北市,0.6625140674076828,0.9214820147414905
林口區第二公墓,公墓,公立,新北市,0.6625140674076828,0.9214820147414905
私立佛教樂山公墓,公墓,私立,新北市,0.6604878339966842,0.8707732174429746
樹林區第七公墓,公墓,公立,新北市,0.6593270448299292,0.8705213930022262
樹林區第八公墓,公墓,公立,新北市,0.6561625242664818,0.8689079039958149
三峽區第十六公墓,公墓,公立,新北市,0.6528792903764531,0.8422733482089121
林口區第一公墓,公墓,公立,新北市,0.6524772390367799,0.9166853024571426
三峽生命紀念館,骨灰(骸)存放設施,公立,新北市,0.6514759146668168,0.8444668166204842
鶯歌區第二公墓,公墓,公立,新北市,0.6408698354398608,0.8650169533244951
鶯歌區第三公墓(附設納骨堂),公墓,公立,新北市,0.6408698354398608,0.8650169533244951
鶯歌區第一公墓(含示範公墓),公墓,公立,新北市,0.6408698354398608,0.8650169533244951
鶯歌示範公墓納骨塔,骨灰(骸)存放設施,公立,新北市,0.6340725342753142,0.8672418685902678
私立林口頂福陵園,公墓,私立,新北市,0.6323991345654668,0.9199178860625142
三峽示範公墓納骨塔,骨灰(骸)存放設施,公立,新北市,0.6323869618320377,0.8469493061837243
三峽區第三公墓(示範公墓),公墓,公立,新北市,0.6323869618320377,0.8469493061837243
臺中市生命禮儀管理所--大甲火化場,火化場,公立,臺中市,0.22114509137450106,0.6236683870627849
八德安樂園火葬場,火化場,私立,臺南市,0.06788235989505537,0.10128439844633395
高雄市岡山區納骨塔,骨灰(骸)存放設施,公立,高雄市,0.03494399664781039,0.0
路竹第四公墓納骨塔,骨灰(骸)存放設施,公立,高雄市,0.0,0.01892585232698557
